Product,Price,Amount,Serving Size,Calories,Ingredients,Allergens
Trippel Belgian Style Ale,$12.49,Unknown,Unknown,Unknown,Unknown,Unknown
Crisp Apple Hard Cider,$11.49,Unknown,Unknown,Unknown,Unknown,Unknown
Pilsner Can 4 Pack,$6.49,Unknown,Unknown,Unknown," Water, Malted Barley, Hops, Hop Extract",Unknown
Grapefruit Hibiscus Organic Hard Kombucha,$15.49,12 fl oz cans,1 can (355 ml),170," Raw Kombucha (Black Tea, Cane Sugar**) *, Grapefruits*, Hibiscus*, Heather*, Dried Ginger*, Yeast*",Unknown
Upside Dawn Non Alcoholic Golden,$18.99,Unknown,12 fl oz,45," Water, Malted Barley, Oats, Hops, Wheat, Yeast",Wheat
Lunch,$7.99,Unknown,Unknown,Unknown,Unknown,Unknown
Draught in Can 8PK 14.9oz,$19.99,Unknown,Unknown,Unknown,Unknown,Unknown
Variety 8-pack,$16.99,12 fl oz,1 can (12 ounce),150," Filtered Water, Cane Sugar*, Honey*, Grapefruit Juice*, Green Tea*, Lime Juice*, Hibiscus*, Grapefruit Peel Oil*, Yeast, Jun Kombucha Culture.",Unknown
Grande Réserve,$19.49,Unknown,Unknown,Unknown,Unknown,Unknown
Black Cherry Hard Kombucha 6pk Cans,$13.99,12 fl oz,12 oz (355 ml),135," Kombucha Culture [Water, Sugar*, Black Tea*, Yeast, Bacteria (Komagataiebacter Spps., Bacillus Coagulans Snz 1969 Probiotic Culture)], Acerola Juice Powder*, Adaptogen Root Blend (Ginger*, Turmeric*, Ginseng*), Cherry Flavor*, Lime*.",Unknown
90 Minute IPA Beer 6pk,$13.49,12 fl oz,Unknown,Unknown,Unknown,Unknown
Old Rasputin 4pk,$12.99,12 oz,Unknown,Unknown,Unknown,Unknown
Allagash White Beer 12pk 12oz Cans,$19.49,Unknown,Unknown,Unknown,Unknown,Unknown
Craft Ginger Mule 4pk,$10.99,12 oz,1 can,140," Water, Organic Ginger Juice, Organic Erythritol, Citric Acid, Organic Reb A (Stevia Leaf Extract), Natural Flavors, Lime Oil, Lime Juice, Lemon Oil, Lemon Juice",Unknown
Organic Ultra Pure Gold Glass Bottles 6pk,$9.49,12 fl oz,12 fl oz,85,Unknown,Unknown
Lager 4pk Cans,$7.49,Unknown,Unknown,Unknown," Water, Barley Malt and Hops.",Unknown
Ipa 6pk Can,$12.99,12 oz cans,Unknown,Unknown,Unknown,Unknown
Framboise Raspberry Lambic,$14.99,8.45 fl oz,Unknown,Unknown,Unknown,Unknown
Hefeweizen 6pk,$13.49,11.2 fl oz,Unknown,Unknown,Unknown,Unknown
La Chouffe 4pk,$11.49,Unknown,Unknown,Unknown,Unknown,Unknown
Srimshaw Pilsner Style Beer,$14.99,12 oz bottles,Unknown,Unknown,Unknown,Unknown
Lager Can 25.4oz,$3.29,24.4 fl oz,12 fl oz (355 ml),146," Water, Barley Malt, Yeast, Corn Syrup (Dextrose & Maltose), Hops",Unknown
Rosé with Elderberry,$8.99,3 servings per container,240 milliliter,40," Carbonated Water, Cane Sugar, White Tea, White Cranberry Concentrate, Elderberry Concentrate, Natural Ginger Extract, Natural Citrus Extract With Other Natural Flavors, Citric Acid.",Unknown
Ultra Pure Gold Light Beer,$15.99,12 fl oz,12 fl oz,85,Unknown,Unknown
The Partea Pack,$11.99,12 fl oz,1 can (355 ml),110," Fresh Brewed Organic Tea (Water, Darjeeling Tea, Hibiscus Flowers), Alcohol, Cane Sugar, Carbon Dioxide, Lemon Juice Concentrate, Strawberry Juice Concentrate, Raspberry Juice Concentrate",Unknown
Premier American Lager 12pk Cans,$19.99,12 servings per container,12 fl oz,90,Unknown,Unknown
Lager 12pk Cans,$13.99,144 fl oz,Unknown,Unknown,Unknown,Unknown
Boston Lager Beer 6pk,$12.49,12 fl oz,Unknown,Unknown,Unknown,Unknown
Zombie Dust Pale Ale 6pk Cans,$13.49,12 fl oz cans,Unknown,Unknown,Unknown,Unknown
Resin DIPA 6pk Can,$12.99,12 fl oz,Unknown,Unknown,Unknown,Unknown
Founders Porter,$12.99,Unknown,Unknown,Unknown,Unknown,Unknown
Original Dry Cider,$12.99,12 fl oz,12 fl oz (355 ml),150," Hard Apple Cider, Filtered Water, Cane Sugar, Brown Sugar, Malic Acid, Sulfites (To Preserve Freshness), Carbon Dioxide",Unknown
Wrench Ipa 4pk,$14.99,Unknown,Unknown,Unknown,Unknown,Unknown
Premium Ale,$13.99,Unknown,Unknown,Unknown,Unknown,Unknown
Logical Conclusion Ipa,$17.49,Unknown,Unknown,Unknown,Unknown,Unknown
Corona Light,$19.99,Unknown,Unknown,Unknown,Unknown,Unknown
Rochefort's Trappistes Rochefort Belgian Ale 10,$8.99,11.2 fl oz,Unknown,Unknown,Unknown,Unknown
Half Acre Daisy Cutter Pale Ale 4/16C,$13.99,Unknown,Unknown,Unknown,Unknown,Unknown
Juice Bomb,$12.49,Unknown,Unknown,Unknown,Unknown,Unknown
Lager 6pk Cans,$7.49,Unknown,Unknown,Unknown,Unknown,Unknown
Duchesse De Bourgogne,$12.49,Unknown,Unknown,Unknown,Unknown,Unknown
Founders All Day IPA,$1.99,Single 19.2oz can,Unknown,Unknown,Unknown,Unknown
Hard Kombucha Variety Pack 12pk,$24.99,Unknown,Unknown,Unknown," Kombucha Culture [Water, Sugar*, Black Tea*, Yeast, Bacteria (Komagataiebacter Spps., Bacillus Coagulans Snz 1969 Probiotic Culture*)], Acerola Juice Powder*, Adaptogen Root Blend (Ginger*, Turmeric*. Ginseng*) Pineapple*†, Chili*†.",Unknown
Fresh Squeezed Ipa 6pk Can,$13.49,12 fl oz cans,Unknown,Unknown,Unknown,Unknown
Can 12pk Premium,$19.99,Unknown,Unknown,Unknown,Unknown,Unknown
Belgian Golden Ale,$14.99,Unknown,Unknown,Unknown,Unknown,Unknown
Pilsner Vliet,$14.99,Unknown,Unknown,Unknown,Unknown,Unknown
American Wheat Ale,$11.99,12 fl oz,Unknown,Unknown,Unknown,Unknown
Ipa 6pk,$9.99,72 fl oz,Unknown,Unknown,Unknown,Unknown
Peche Lambic 4pk,$14.99,8.45 fl oz,Unknown,Unknown,Unknown,Unknown
Raspberry Hard Seltzer,$11.99,12 fl oz,1 can (355 ml),100," Purified Carbonated Water, Alcohol, Natural Flavors, Cane Sugar, Citric Acid, Natural Raspberry Juice Concentrate, Sodium Citrate.",Unknown
Pale Ale 6 Pack (12oz Cans),$9.99,Unknown,Unknown,Unknown,Unknown,Unknown
Blackberry Hibiscus Bellini Sparkling Mocktail,$9.49,25.4 fl oz,4 oz,20," Carbonated Water, Organic Cane Sugar, Blackberry Juice Concentrate, Natural Flavors, Hibiscus Flower Extract, Citric Acid, Malic Acid., Contains 5% Juice.",Unknown
Just the Haze Non-Alcoholic IPA Beer,$11.49,Alchohol Free (12 fl. oz. Can,Unknown,Unknown,Unknown,Unknown
Montauk Summer Ale,$9.99,12 fl oz,Unknown,Unknown,Unknown,Unknown
