Product,Price,Amount,Serving Size,Calories,Ingredients,Allergens
Keto Chocolate Chip Cookie Dough Bites,$7.47,5.29 oz,1 bite (25 g),130," Organic Cashews, Organic Red Palm Oil (Certified Sustainable), Organic Soluble Tapioca Fiber, Organic Chocolate [Organic Cacao, Organic Soluble Tapioca Fiber, Organic Cacao Butter, Organic Prebiotic Tapioca, Organic Cherries, Organic Sunflower Lecithin, Organic Monk Fruit], Organic Pea Protein, Organic MCT Oil, Organic Baobab, Organic Vanilla, Organic Sunflower Lecithin, Sea Salt, Organic Monk Fruit, Water.",Tree Nuts
Two Bite Brownies,$6.69,11.3 oz,2 brownies (38 g),170,"cane sugar, unbleached enriched wheat flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), sunflower seed oil, organic egg whites, invert cane sugar, water, organic butter (cream), cocoa powder (processed with alkali), semi-sweet chocolate (cane sugar, chocolate liquor, cocoa butter, soy lecithin [emulsifier], vanilla extract), salt, cornstarch, natural chocolate flavor, natural vanilla flavor, leavening (calcium acid pyrophosphate, sodium bicarbonate, cornstarch, monocalcium phosphate, calcium sulfate), mono- and diglycerides of fatty acids (emulsifiers).","Milk and Dairy, Eggs, Wheat, Soy"
Vegan Chocolate Blackout Cupcakes,$6.99,10 oz,1 cupcake (71 g),280," Water, Enriched Unbleached Flour (Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Cane Sugar, RSPO Certified Sustainable Palm Oil (Palm Oil, Vegetable Mono & Diglycerides), Confectioners' Sugar (Cane Sugar, Cornstarch), Cocoa Powder (Cocoa Processed With Alkali), Expeller-pressed Canola Oil, Semisweet Chocolate (Cane Sugar, Chocolate Liquor, Cocoa Butter, Soy Lecithin [An Emulsifier], Vanilla), Baking Soda, Organic Vinegar, Sea Salt, Baking Powder (Sodium Acid Pyrophosphate, Sodium Bicarbonate, Cornstarch, Monocalcium Phosphate)","Soy, Wheat"
Cookies,$2.99,21 servings per container,2 cookies (27 g),130," Cane Sugar, Unbleached Enriched Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Expeller Pressed Canola Oil, Wheat Starch, Cocoa Powder (Processed With Alkali), Invert Cane Sugar Syrup, Salt, Natural Flavors, Baking Soda (Sodium Bicarbonate), Soy Lecithin (Emulsifier).","Wheat, Soy"
Snickerdoodle Mini Cookie 18 Count,$5.99,12 oz,1 ea,90," Unbleached, Unbromated Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Sugar, Butter (Cream), Eggs, Cinnamon Sugar Blend (Brown Sugar, Sugar, Cinnamon), Invert Cane Sugar, Baking Powder (Sodium Acid Pyrophosphate, Sodium Bicarbonate, Corn Starch, Monocalcium Phosphate), Sea Salt, Natural Vanilla Flavor.","Eggs, Milk and Dairy, Wheat"
Crispy Chocolate Chip Cookies,$5.49,10 oz,1 ea,120," Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Organic Butter (Cream, Lactic Acid), Brown Sugar, Chocolate Chips (Unsweetened Chocolate, Sugar, Sunflower Lecithin, Pure Vanilla), Chocolate Chips (Sugar, Unsweetened Chocolate, Cocoa Butter, Soy Lecithin [An Emulsifier], Natural Vanilla Flavor), Sugar, Water, Natural Vanilla Flavor, Eggs, Organic Sweet Cream Solids, Sea Salt, Baking Soda.","Eggs, Milk and Dairy, Soy, Wheat"
Vegan Chocolate Chip Cookie Dough,$11.25,12 oz,0.083 package (28 g),140,"almond flour, organic maple syrup, semi-sweet chocolate morsels (unsweetened chocolate, organic cane sugar, cocoa butter), arrowroot flour, organic coconut oil, organic vanilla extract, sea salt, baking soda",Tree Nuts
Two Bite Cinnamon Rolls,$6.69,13 oz,2 cinnamon rolls (57 g),210,"unbleached enriched wheat flour (wheat flour, niacin, reduced iron, ascorbic acid [dough conditioner], thiamine mononitrate, riboflavin, microbial enzymes, folic acid), cane sugar, butter (cream, salt), water, invert cane sugar, modified potato starch, whole milk powder, potato starch, leavening (sodium acid pyrophosphate, sodium bicarbonate, cornstarch, monocalcium phosphate, calcium sulfate), cinnamon, salt, vinegar.","Milk and Dairy, Wheat"
Organic Dark Chocolate Biscuit,$6.49,5.29 oz,2 cookies (25 g),130," Organic Dark Chocolate (Organic Cane Sugar, Organic Cocoa Paste, Organic Cocoa Butter, Organic Whole Milk Powder), Organic Wheat Flour, Organic Cane Sugar, Organic Palm Fat, Organic Unrefined Wheat Syrup, Raising Agents (Ammonium Bicarbonate, Potassium Tartrate, Sodium Bicarbonate), Sea Salt.","Milk and Dairy, Wheat"
Red Velvet Cupcakes,$6.99,10 oz,1 cupcake (71 g),270,"confectioners' sugar (cane sugar, cornstarch), cane sugar, enriched unbleached flour (wheat flour, malted barley flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid), cream cheese (pasteurized cultured milk and cream, salt, stabilizers [guar gum and carob bean gum]), expeller-pressed canola oil, buttermilk (cultured low fat milk, salt, vitamin a palmitate, vitamin d3), rspo certified sustainable palm oil (palm oil, vegetable mono & diglycerides), water, cage-free eggs, baking powder (sodium acid pyrophosphate, sodium bicarbonate, cornstarch, monocalcium phosphate), natural vanilla flavor, sea salt, modified tapioca starch, cocoa powder (cocoa processed with alkali), vegetable juice (for color), citric acid, organic vinegar.","Milk and Dairy, Eggs, Wheat"
