Product,Price,Amount,Serving Size,Calories,Ingredients,Allergens
Hair Bender Whole Bean Coffee,$15.99,12 oz,Unknown,Unknown,Coffee,Unknown
Chocolate Non-dairy Beverage,$5.59,48 fl oz,1 cup (240 ml),140," Water, Pea Protein Blend (Water, Pea Protein), Cane Sugar, Sunflower Oil, Alkalized Cocoa Powder, Contains Less Than 1% of Vitamin A Palmitate, Vitamin D2, Vitamin B12, Tricalcium Phosphate, Dipotassium Phosphate, Sunflower Lecithin, Natural Flavor, Sea Salt, Guar Gum, Gellan Gum.",Unknown
Unsweetened Colombian Cold Brew Coffee,$5.99,42 fl oz,12 oz (354 ml),5," Cold-pressed Coffee (Water, 100% Arabica Coffee)",Unknown
Big Bang Ground Beans,$10.99,10.5 oz,Unknown,Unknown,Coffee,Unknown
Lemon Elation Yerba Mate,$3.39,15.5 fl oz,1 can (458 ml),100,"Purified Water, Organic Cane Sugar*, Organic Roasted Yerba Mate*, Organic Brewed Roasted Yerba Mate and Elder Flower (Purified Water, Organic Yerba Mate*, Organic Elder Flower), Organic Ginger Juice, Organic Lemon Juice Concentrate, Citric Acid, Organic Caffeine., *Fair Trade Ingredient",Unknown
Ginger Wellness,$3.69,1 servings per container,50 ml (50 ml),20," Coconut Water*, Lemon Juice*, Ginger Juice*, Cayenne Pepper*",Tree Nuts
Organic Coconut Water,$5.79,33.8 fl oz,8 fl oz (240 ml),45," Organic Coconut Water, Organic Sugar, Vitamin C (Ascorbic Acid).",Tree Nuts
Black Cat Classic Espresso,$16.49,12 oz,Unknown,Unknown,Coffee,Unknown
Organic Sacred Life 16oz,$4.49,1 servings per container,1 bottle,60,"Gt's Kombucha*, (Kombucha Culture*, Black Tea*, Green Tea*, Kiwi Juice*), Young Coconut Water*, Fresh Pressed Ginger Juice*, Blue Spirulina*, and 100% Pure Love!!!",Tree Nuts
20oz Single,$1.69,1 servings per container,1 bottle (591 ml),0," Purified Water (by Reverse Osmosis), Sodium Bicarbonate, Dipotassium Phosphate, Magnesium Sulfate and Calcium Chloride† †electrolytes For Taste",Unknown
Organic Pure Pomegranate Juice,$14.49,32 fl oz,8 fl oz (240 ml),160,Ingredient: Organic Pomegranate Juice.,Unknown
Major Dickasons Blend Whole Beans,$10.99,10.5 oz,Unknown,Unknown,Coffee,Unknown
Organic Golden Pineapple 16oz,$4.49,Unknown,1 bottle,60," Gt's Kombucha* (Kombucha Culture*, Black Tea*, Green Tea*, Kiwi Juice*), Pineapple Juice*, Lemon Juice*, Sage*, and 100% Pure Love!!!",Unknown
Organic 100% Orange Juice No Pulp (Not From Concentrate),$1.97,15.2 fl oz,15.2 fl oz (450 ml),210, Organic Orange Juice.,Unknown
Whole Coconut Smoothie,$5.19,10 fl oz,1 bottle,120," Organic Coconut Water*, Organic Coconut Meat., *",Tree Nuts
Organic Orange Exuberance Yerba Mate,$3.39,15.5 fl oz,1 can (458 ml),120," Purified Water, Organic Cane Sugar*, Organic Orange Juice Concentrate, Organic Yerba Mate Extract*, Organic Brewed Yerba Mate and Orange Peel (Purified Water, Organic Yerba Mate*, Organic Orange Peel), Organic Lime Juice, Citric Acid, Organic Orange Natural Flavor, Organic Tangerine Extract, Organic Caffeine., *Fair Trade Certified",Unknown
100% Orange Juice Extra Pulp (Not From Concentrate),$5.37,59 fl oz,8 fl oz (240 ml),110, Orange Juice.,Unknown
Organic Shelf-Stable Juice,$6.29,8 servings per container,8 fl oz (240 ml),110," Filtered Water, Organic Apple Juice Concentrate, Organic Cranberry Juice, Aronia Juice Concentrate (Color), Organic Natural Flavor, Citric Acid, Asocrbic Acid (Vitamin C).",Unknown
Sport Protein Chocolate Tub,$62.99,29.5 oz,1 scoop (44 g),160," Pea Protein, Cocoa Powder (Processed With Alkali), Natural Flavors, Pumpkin Seed Protein, Organic Sunflower Seed Protein, Alfalfa Protein, Tart Cherry Powder, Beet Root Powder (For Color), Sea Salt, Stevia Leaf Extract, Xanthan Gum, Probiotics (Bacillus Coagulans), Bromelain, Turmeric Extract, Black Pepper Extract.",Unknown
Organic Cayenne Immunity Boost Wellness Shot,$3.99,2 fl oz,1 bottle (59 ml),15," Organic Coconut Water, Organic Ginger Root Juice, Organic Turmeric Root Juice, Organic Lemon Juice, Organic Cayenne Pepper, Organic Ground Black Pepper",Tree Nuts
The Original Ground Coffee,$15.99,12 oz,Unknown,Unknown,Coffee,Unknown
Organic French Ground Coffee,$11.99,10.5 oz,Unknown,Unknown,Coffee,Unknown
Organic Multi-Green 16oz,$4.49,1 servings per container,1 bottle,60,"gt's kombucha* (kombucha culture*, black tea*, green tea*, kiwi juice*), klamath valley blue-green algae*, spirulina, chlorella",Unknown
Pure Tart Cherry Juice,$11.49,32 fl oz,8 fl oz (240 ml),140,Ingredient: Organic Tart Cherry Juice.,Unknown
Chocolate Banana Plant Protein Drink,$4.59,12 fl oz,1 bottle,190," Blend Of Almond Milk and Coconut Milk (Filtered Water, Almonds, Coconut Cream), Kola Proprietary Blend (Brown Rice Protein, Pea Protein, Chickpea Protein), Banana Puree, Chicory Root Fiber, Organic Cane Sugar, Cocoa Powder, Natural Flavors, Sunflower Lecithin, Sea Salt, Monk Fruit Extract, Locust Bean Gum and Gellan Gum",Tree Nuts
Lime Ginger Prebiotic Soda,$4.44,12 fl oz,1 can,15," Sparkling Filtered Water, Apple Cider Vinegar, Ginger Juice, Lime Juice, Lemon Juice, Organic Cane Sugar, Natural Flavors, Stevia.",Unknown
Organic Shelf-stable Lemon Juice,$3.29,10 fl oz,1 tsp (5 ml),0, Organic Lemon Juice.,Unknown
Spring Water,$2.89,33.8 fl oz,Unknown,Unknown,Spring Water,Unknown
Protein Dark Chocolate,$4.99,12 oz,12 fl oz (355 ml),240," Organic Coconut-milk (Water, Organic Coconut Creme), Organic Alkalized Cocoa Powder, Organic Pea Protein, Organic Coconut Sugar, Organic Inulin (Prebiotic Fiber), Organic Vanilla Extract, Pink Salt, Organic Ashwagandha Extract, Organic Maca Extract, Baker's Yeast Beta-glucan, Organic Stevia Extract, Organic Reishi Mushroom Extract, Gellan Gum.",Tree Nuts
Original Cold Brew Coffee,$4.99,10.5 fl oz,1 bottle (310.5 ml),15," Cold Brew Coffee (Water, Coffee)",Unknown
Fast Forward Coffee,$15.99,12 oz,Unknown,Unknown,Coffee,Unknown
Whole Foods Market™ Lime Italian Sparkling Mineral Water (6-pk),$6.29,16.9 fl oz,1 bottle (500 ml),0," Carbonated Mineral Water, Organic Natural Flavors (Lime).",Unknown
Blood Orange Carrot Ginger,$3.99,16 fl oz,1 bottle,70," Organic Kombucha [Filtered Water, Kombucha Culture (Yeast and Bacteria Cultures), Organic Black Tea, Organic Green Tea, Organic Cane Sugar, Carbonation], Cold-pressed Organic Carrot Juice, Cold-pressed Organic Blood Orange Juice, Cold-pressed Organic Ginger Juice.",Unknown
Kombucha,$3.99,Unknown,1 bottle,70," Organic Kombucha [Filtered Water, Kombucha Culture (Yeast and Bacteria Cultures), Organic Black Tea, Organic Green Tea, Organic Cane Sugar, Carbonation], Cold-pressed Organic Ginger Juice, Cold-pressed Organic Lime Juice, Organic Cayenne Pepper.",Unknown
Revive Reishi Chocolate,$4.99,12 oz,1 bottle (355 ml),180," Organic Coconut-milk (Water, Organic Coconut Creme), Organic Coconut Sugar, Organic Alkalized Cocoa Powder, Organic Acacia, Organic Cocoa Powder, Organic Vanilla Extract, Pink Salt, Organic Quillaia Extract, Organic Reishi Mushroom Extract, Organic Stevia Extract, Gellan Gum, Zinc Gluconate.",Tree Nuts
Big Trouble,$14.99,12 oz,Unknown,Unknown,Coffee,Unknown
Vanilla Whey Protein,$50.49,32 oz,1 rounded scoop (31 g),120," Whey Protein Isolate Blend (Native Whey Protein Isolate, Whey Protein Isolate), Whey Protein Concentrate, Natural Flavors, Sunflower Lecithin, Stevia Leaf Extract, Sea Salt.",Milk and Dairy
Mentalist Ground Coffee,$15.99,12 oz,Unknown,Unknown,Coffee,Unknown
Organic Sparkling Cranberry Pomegranate Yerba Mate,$3.29,12 fl oz,8 fl oz (240 ml),70," Sparkling Purified Water, Organic Cane Sugar†, Organic Pomegranate Juice Concentrate, Organic Cranberry Juice Concentrate, Organic Yerba Mate Extract†, Citric Acid, Organic Brewed Yerba Mate† (Purified Water, Organic Yerba Mate†), Organic Cranberry Natural Flavor, and Organic Pomegranate Natural Flavor., †fair Trade Ingredient",Unknown
Spring Water,$2.39,25.36 fl oz,12 oz,0,Spring Water,Unknown
Root Beer (4-pk),$5.59,48 fl oz,12 fl oz (355 ml),160,"Sparkling Filtered Water, Cane Sugar, Natural Caramel Color, Natural Flavors, Malic Acid For Flavor",Unknown
